leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,volume,estimated_volume,estimated_volume_b,measured_rate,tagged,component,date_began,day_ts_began,estimated_date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,M_OGI_2x_sp_covered,estimated_volume_a,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00760_0000000003,ABRAND00760,5,0.12671829389543948,51.97,-114.64,repaired,134,481.7322660729028,,0.0,0.12671829389543948,True,unknown,2021-10-04,0,0.0,2022-01-28 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2022-01-28 13:00:00,False,2022-02-14 00:00:00,16.0,1.0,0.0,0.1682322801024765,56.13234545984938,0.585948872872242
ABRAND00314_0000000014,ABRAND00314,3,0.12666301850643566,54.26,-116.33,repaired,69,16404.583513635105,,0.0,0.12666301850643566,True,unknown,2025-12-01,0,1391.0,2026-01-22 08:00:00,M_OGI_2x,1.0,M_OGI_2x,2026-01-22 08:00:00,False,2026-02-08 00:00:00,16.0,1.0,0.0,0.1690862510674637,56.25900847835582,0.5872710704807764
ABRAND00477_0000000003,ABRAND00477,1,0.12651948304127386,53.33,-115.79,repaired,196,2393.9510503137676,,0.0,0.12651948304127386,True,unknown,2022-01-24,0,101.0,2022-07-22 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2022-07-22 13:00:00,False,2022-08-08 00:00:00,16.0,1.0,0.0,0.1699402220324509,56.38552796139709,0.5885917697652459
ABRAND00668_0000000018,ABRAND00668,3,0.12558140179230576,52.95,-115.1,repaired,23,16329.600837857102,,0.0,0.12558140179230576,True,unknown,2026-01-22,0,1397.0,2026-01-28 10:30:00,M_OGI_2x,1.0,M_OGI_2x,2026-01-28 10:30:00,False,2026-02-14 00:00:00,16.0,1.0,0.0,0.1707941929974381,56.51110936318939,0.5899026766983357
ABRAND00338_0000000003,ABRAND00338,3,0.1255597338956473,53.05,-116.21,repaired,70,499.02460639486077,,0.0,0.1255597338956473,True,unknown,2021-12-09,0,0.0,2022-01-30 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2022-01-30 13:00:00,False,2022-02-16 00:00:00,16.0,1.0,0.0,0.17164816396242527,56.63666909708504,0.5912133574466918
ABRAND00314_0000000003,ABRAND00314,2,0.1252952625081298,54.26,-116.33,repaired,365,4341.029782961668,,,,True,unknown,2022-02-06,0,,2023-02-06 00:00:00,natural,1.0,natural,2023-02-06 00:00:00,False,2023-02-06 00:00:00,0.0,1.0,,0.17250213492741245,56.76196435959317,0.592521277456829
ABRAND00760_0000000008,ABRAND00760,1,0.12462481819350439,51.97,-114.64,repaired,181,2433.474049973644,,0.0,0.12462481819350439,True,unknown,2022-02-15,0,104.5,2022-07-29 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2022-07-29 13:00:00,False,2022-08-15 00:00:00,16.0,1.0,0.0,0.17335610589239966,56.886589177786675,0.5938221988980081
ABRAND00394_0000000004,ABRAND00394,1,0.12438814435682059,52.88,-116.0,repaired,249,4255.8657262820025,,0.0,0.12438814435682059,True,unknown,2022-05-28,0,289.0,2023-01-16 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2023-01-16 13:00:00,False,2023-02-01 16:00:00,16.0,1.0,0.0,0.17421007685738685,57.010977322143496,0.5951206497713407
ABRAND00811_0000000008,ABRAND00811,1,0.12386336390527097,52.0,-114.47,repaired,166,12210.747685854985,,0.0,0.12386336390527097,True,unknown,2024-09-02,0,1033.0,2025-01-29 08:00:00,M_OGI_2x,1.0,M_OGI_2x,2025-01-29 08:00:00,False,2025-02-15 00:00:00,16.0,1.0,0.0,0.17506404782237403,57.13484068604877,0.5964136226174936
ABRAND00394_0000000002,ABRAND00394,1,0.1234849381538054,52.88,-116.0,repaired,238,330.7420583511524,,0.0,0.1234849381538054,True,unknown,2021-06-09,0,0.0,2022-01-16 13:00:00,M_OGI_2x,1.0,M_OGI_2x,2022-01-16 13:00:00,False,2022-02-01 16:00:00,16.0,1.0,0.0,0.17591801878736124,57.25832562420258,0.5977026451896873
